label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
ESPACO,0.20079569518566132,0.8830091953277588,9.28916620068776e-07,0.3220503032207489,0.8383681774139404,-0.04714774712920189,0.43146443367004395,0.7502580881118774,-0.06696578115224838,0.5113708972930908,0.673624575138092,-0.08469893783330917,0.5790469646453857,0.6335892677307129,-0.10198450833559036,0.3553091585636139,0.5147536993026733,-0.028517821803689003,0.4145362079143524,0.3798370361328125,-0.05464218184351921,0.44567036628723145,0.2924574911594391,-0.07934410870075226,0.467737078666687,0.21693944931030273,-0.09852579981088638,0.27837011218070984,0.47776395082473755,-0.03126140683889389,0.31145089864730835,0.3056544065475464,-0.05258505418896675,0.32799258828163147,0.20168763399124146,-0.07597056031227112,0.3389755189418793,0.11437836289405823,-0.0940726026892662,0.20146384835243225,0.4815780520439148,-0.04100530967116356,0.21162337064743042,0.3190334737300873,-0.06805744022130966,0.22080886363983154,0.21709561347961426,-0.09536682814359665,0.23099666833877563,0.12652382254600525,-0.11485850811004639,0.12380002439022064,0.520761251449585,-0.05533463507890701,0.08644035458564758,0.40674012899398804,-0.08533604443073273,0.06130710244178772,0.3314979672431946,-0.10203249007463455,0.04351717233657837,0.25695645809173584,-0.11237038671970367
ESPACO,0.20709288120269775,0.8959910869598389,9.051718166119826e-07,0.32723426818847656,0.8512066006660461,-0.0462786927819252,0.43417564034461975,0.7601648569107056,-0.06594280153512955,0.51309734582901,0.6820076704025269,-0.08364243060350418,0.5811452269554138,0.6425275802612305,-0.1010446548461914,0.356270432472229,0.5233139991760254,-0.03002292290329933,0.4164808988571167,0.386383593082428,-0.05668662488460541,0.44754689931869507,0.2981528639793396,-0.08181258291006088,0.4688628017902374,0.2207466959953308,-0.10156509280204773,0.27850648760795593,0.48648005723953247,-0.0337630994617939,0.3113786280155182,0.31249526143074036,-0.0558541864156723,0.3275497555732727,0.2077268660068512,-0.0799902006983757,0.3374939262866974,0.11909255385398865,-0.0989149957895279,0.20075008273124695,0.4902217984199524,-0.04422337934374809,0.21099911630153656,0.32586371898651123,-0.0716538280248642,0.22000464797019958,0.22377163171768188,-0.09925640374422073,0.22961902618408203,0.1329621970653534,-0.11931147426366806,0.12276656925678253,0.5296242833137512,-0.05910787358880043,0.08456866443157196,0.41381317377090454,-0.08950192481279373,0.05931238830089569,0.3384198546409607,-0.10632093250751495,0.041844576597213745,0.26357176899909973,-0.11696921288967133
ESPACO,0.20579582452774048,0.895760715007782,9.374261367156578e-07,0.3238180875778198,0.8503167629241943,-0.04764648526906967,0.4313068985939026,0.7599513530731201,-0.06812343746423721,0.5116606950759888,0.6827234029769897,-0.0863439291715622,0.5807623863220215,0.6437804698944092,-0.1040729358792305,0.3558768332004547,0.5259954333305359,-0.03008505329489708,0.4162636995315552,0.38825723528862,-0.05673331022262573,0.447250634431839,0.29863759875297546,-0.08172377943992615,0.46819424629211426,0.22095507383346558,-0.10105101019144058,0.27831217646598816,0.4894840717315674,-0.03260432928800583,0.3106890022754669,0.3153098523616791,-0.05419480428099632,0.3264390826225281,0.21015575528144836,-0.077643483877182,0.336114764213562,0.12102556228637695,-0.09599532186985016,0.20100730657577515,0.49293458461761475,-0.04203285276889801,0.2105419635772705,0.3306357264518738,-0.0681547150015831,0.2191525399684906,0.226849764585495,-0.09466791898012161,0.22847595810890198,0.13376078009605408,-0.1139683946967125,0.12239690124988556,0.5313249230384827,-0.05618700012564659,0.08522839844226837,0.4166322350502014,-0.08456437289714813,0.061231598258018494,0.33942553400993347,-0.10015416145324707,0.04486766457557678,0.2617933452129364,-0.11010550707578659
ESPACO,0.20633342862129211,0.900032639503479,9.185945941680984e-07,0.3274177312850952,0.8557256460189819,-0.04624480754137039,0.4347226619720459,0.7653589844703674,-0.06488712877035141,0.5148521661758423,0.6867617964744568,-0.08179902285337448,0.582368016242981,0.647420346736908,-0.09826672822237015,0.35925957560539246,0.5285963416099548,-0.024461612105369568,0.41896873712539673,0.392225444316864,-0.04898630082607269,0.44878172874450684,0.3023211658000946,-0.07287337630987167,0.469111829996109,0.22478607296943665,-0.09180134534835815,0.2813274562358856,0.4920792579650879,-0.027119314298033714,0.3119581937789917,0.32002022862434387,-0.04701855033636093,0.32754701375961304,0.2161245048046112,-0.06960182636976242,0.33817335963249207,0.1279033124446869,-0.08738411962985992,0.20397526025772095,0.49611419439315796,-0.03695959970355034,0.21264433860778809,0.33467429876327515,-0.06250689923763275,0.22164329886436462,0.23179376125335693,-0.08918623626232147,0.23158861696720123,0.14007127285003662,-0.10860979557037354,0.12579742074012756,0.5355561971664429,-0.051521118730306625,0.08714324235916138,0.42238444089889526,-0.08046797662973404,0.06216534972190857,0.3445649743080139,-0.0971687063574791,0.045247554779052734,0.26648402214050293,-0.10783553868532181
ESPACO,0.20612090826034546,0.9012303352355957,9.417346973350504e-07,0.3274070620536804,0.8544950485229492,-0.047533344477415085,0.43557578325271606,0.763624370098114,-0.06712047755718231,0.5149732232093811,0.6861933469772339,-0.08472094684839249,0.5820393562316895,0.6465136408805847,-0.10184433311223984,0.35795363783836365,0.528736412525177,-0.02678419090807438,0.4161604046821594,0.3916330337524414,-0.05261470004916191,0.4463534653186798,0.30298539996147156,-0.07738162577152252,0.4678555428981781,0.22595340013504028,-0.09680605679750443,0.28026139736175537,0.49288511276245117,-0.029550816863775253,0.3117534816265106,0.3204749822616577,-0.050765082240104675,0.32756394147872925,0.21522930264472961,-0.07475947588682175,0.3383605182170868,0.1257818639278412,-0.09349235147237778,0.20313432812690735,0.49793991446495056,-0.039536651223897934,0.21217972040176392,0.3359215259552002,-0.06632284075021744,0.22152796387672424,0.23244181275367737,-0.09420359879732132,0.2323208898305893,0.13950005173683167,-0.11431585252285004,0.12517321109771729,0.5379956364631653,-0.05424051731824875,0.08722411096096039,0.42456886172294617,-0.08406616747379303,0.06304541230201721,0.34742993116378784,-0.1012989804148674,0.04709559679031372,0.269967645406723,-0.11231593042612076
ESPACO,0.2110080122947693,0.9053550958633423,9.368180826641037e-07,0.32908329367637634,0.8583995699882507,-0.04747956618666649,0.4364611804485321,0.7665735483169556,-0.06767086684703827,0.5180929899215698,0.6904937624931335,-0.08600224554538727,0.5890417695045471,0.6524007320404053,-0.10389310866594315,0.3610432744026184,0.53240966796875,-0.027871867641806602,0.4203767478466034,0.3946390151977539,-0.05413452535867691,0.4505785405635834,0.30492255091667175,-0.07899708300828934,0.4712505340576172,0.2267429232597351,-0.09848939627408981,0.2834765315055847,0.49693214893341064,-0.030993638560175896,0.3139250576496124,0.32393819093704224,-0.05326392874121666,0.3296574354171753,0.21828225255012512,-0.07733096927404404,0.33998236060142517,0.12851566076278687,-0.09588324278593063,0.20631130039691925,0.5020993947982788,-0.04128513112664223,0.21454758942127228,0.3398551642894745,-0.06908318400382996,0.22355608642101288,0.23585009574890137,-0.09714947640895844,0.23376500606536865,0.14267325401306152,-0.1170753464102745,0.12860259413719177,0.5419653058052063,-0.056224845349788666,0.0900125652551651,0.4273739457130432,-0.08672419935464859,0.06441895663738251,0.3501009941101074,-0.10407968610525131,0.04683724045753479,0.27301621437072754,-0.11497031152248383
ESPACO,0.21000176668167114,0.9052492380142212,9.447256275052496e-07,0.32950258255004883,0.8575513362884521,-0.04654098302125931,0.43644970655441284,0.7649784088134766,-0.06583990156650543,0.5174944400787354,0.689456045627594,-0.08341764658689499,0.5870513916015625,0.6506413817405701,-0.10072009265422821,0.35958611965179443,0.5324382185935974,-0.027257012203335762,0.41882604360580444,0.39385220408439636,-0.053137049078941345,0.44947218894958496,0.30505067110061646,-0.07759791612625122,0.4706553816795349,0.22781872749328613,-0.09663062542676926,0.2825319170951843,0.4977860450744629,-0.03049067221581936,0.3139326572418213,0.3248692452907562,-0.052124351263046265,0.3300454914569855,0.21884095668792725,-0.07614895701408386,0.3403487503528595,0.12877607345581055,-0.09467096626758575,0.20571227371692657,0.5033087730407715,-0.04073835164308548,0.21490904688835144,0.34092095494270325,-0.06766463816165924,0.22418050467967987,0.23613247275352478,-0.09556946158409119,0.23440000414848328,0.1417160928249359,-0.11548182368278503,0.12801821529865265,0.5431739091873169,-0.05555252358317375,0.0899190753698349,0.4291961193084717,-0.08531154692173004,0.06523904204368591,0.3516255021095276,-0.10222214460372925,0.0483880341053009,0.27399906516075134,-0.11283433437347412
ESPACO,0.21211662888526917,0.9092085957527161,9.669411156210117e-07,0.3303934335708618,0.864190936088562,-0.05009659752249718,0.4386148452758789,0.7740404605865479,-0.07233276218175888,0.5203534364700317,0.6960838437080383,-0.09219959378242493,0.5924572348594666,0.6552425622940063,-0.11117788404226303,0.363582044839859,0.5340713262557983,-0.030566634610295296,0.4228387773036957,0.39751261472702026,-0.058011818677186966,0.4532473087310791,0.3077274262905121,-0.08373244851827621,0.47405534982681274,0.22954699397087097,-0.10376347601413727,0.2858572006225586,0.49684664607048035,-0.03305906429886818,0.3173161745071411,0.3251926302909851,-0.05597960576415062,0.3340877294540405,0.2206604778766632,-0.0797700360417366,0.34515678882598877,0.13041654229164124,-0.09799432754516602,0.20850464701652527,0.5015166401863098,-0.04295859485864639,0.21703383326530457,0.3409426808357239,-0.07107789069414139,0.22574231028556824,0.23727506399154663,-0.09819876402616501,0.23572924733161926,0.14338621497154236,-0.11740441620349884,0.12992385029792786,0.542694091796875,-0.0578351728618145,0.09154228866100311,0.43001776933670044,-0.08788200467824936,0.06652481853961945,0.35285669565200806,-0.10436276346445084,0.04932337999343872,0.2752763628959656,-0.11461174488067627
ESPACO,0.21540236473083496,0.9174661636352539,9.572759154252708e-07,0.3346148431301117,0.8732951879501343,-0.04825843498110771,0.4426632523536682,0.781343936920166,-0.06916704028844833,0.5259145498275757,0.7052507400512695,-0.0881134495139122,0.5972887277603149,0.6680915951728821,-0.10646890103816986,0.3687080442905426,0.5380942821502686,-0.02864791266620159,0.42821189761161804,0.399732768535614,-0.054549217224121094,0.459015429019928,0.30933958292007446,-0.07900726795196533,0.4803224802017212,0.2320832908153534,-0.09828375279903412,0.291012704372406,0.5017671585083008,-0.03149295225739479,0.3216759264469147,0.327694296836853,-0.0528339184820652,0.3390589654445648,0.222395122051239,-0.07572849094867706,0.3510625660419464,0.13256609439849854,-0.09360486268997192,0.213598370552063,0.5063841938972473,-0.04164418950676918,0.2222803235054016,0.34309327602386475,-0.0688871219754219,0.23139162361621857,0.23795905709266663,-0.09655369818210602,0.24110838770866394,0.14428040385246277,-0.11628788709640503,0.13476990163326263,0.5468930006027222,-0.05657145753502846,0.09624981880187988,0.4314391016960144,-0.08674366027116776,0.07046526670455933,0.3530653715133667,-0.10405289381742477,0.052001386880874634,0.2750507593154907,-0.11497561633586884
ESPACO,0.21390400826931,0.9185038805007935,9.67393475548306e-07,0.33442550897598267,0.8736286163330078,-0.049214914441108704,0.4442567825317383,0.7798585295677185,-0.07019750773906708,0.5280404686927795,0.7025009393692017,-0.08869654685258865,0.5981622338294983,0.6646803021430969,-0.10653887689113617,0.366705060005188,0.5397135019302368,-0.03071427345275879,0.42631399631500244,0.4001659154891968,-0.05710368975996971,0.4575771689414978,0.3106383681297302,-0.08207157999277115,0.4792296886444092,0.23323017358779907,-0.10149266570806503,0.289539098739624,0.5027775168418884,-0.03306472674012184,0.3226879835128784,0.32814815640449524,-0.05401452258229256,0.3395772874355316,0.22157490253448486,-0.07744060456752777,0.350208044052124,0.13138079643249512,-0.09576891362667084,0.2122146189212799,0.506652295589447,-0.04256530851125717,0.22234255075454712,0.34300392866134644,-0.0685085728764534,0.23185980319976807,0.23765814304351807,-0.095759317278862,0.24198207259178162,0.1434355080127716,-0.11548782885074615,0.13381247222423553,0.5463329553604126,-0.05695504695177078,0.09565305709838867,0.43098941445350647,-0.08538602292537689,0.07127848267555237,0.353097140789032,-0.10153007507324219,0.054730772972106934,0.27561336755752563,-0.11184609681367874
